title,doi,nlmid,altmetric_jid,issns,journal,altmetric_id,schema,is_oa,cited_by_posts_count,cited_by_gplus_count,cited_by_fbwalls_count,cited_by_tweeters_count,cited_by_accounts_count,cited_by_feeds_count,cited_by_rdts_count,cited_by_msm_count,cited_by_delicious_count,cited_by_forum_count,cited_by_qs_count,cited_by_rh_count,score,mendeley,connotea,citeulike,url,added_on,published_on,subjects,scopus_subjects,last_updated,readers_count,details_url,cited_by_fbwalls_count.1,cited_by_tweeters_count.1,cited_by_feeds_count.1,X10_cited_by_tweeters_count,X13_cited_by_accounts_count,X13_cited_by_posts_count,X10_cited_by_accounts_count,X11_cited_by_posts_count,cited_by_gplus_count.1,X19_cited_by_tweeters_count,X20_cited_by_accounts_count,X25_cited_by_posts_count,X10_cited_by_posts_count,jecolcitations
Short seedÌ¢åÛåêdispersal distances and low seedling recruitment in farmland populations of birdÌ¢åÛåêdispersed cherry trees,10.1111/1365-2745.12001,50202,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,985314,1.5.4,FALSE,4,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,1.75,0,0,1,http://onlinelibrary.wiley.com/doi/10.1111/1365-2745.12001/abstract,1349515908,NA,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1350977277,1,http://www.altmetric.com/details.php?citation_id=985314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Improving approaches to the analysis of functional and taxonomic biotic homogenization: beyond mean specialization,10.1111/1365-2745.12002,50202,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,976658,1.5.4,FALSE,5,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,2.1,0,0,1,http://onlinelibrary.wiley.com/doi/10.1111/1365-2745.12002/abstract;jsessionid=4EECC6271C6B8BD33ED9F76E366E38A8.d01t04,1349172445,NA,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1349553935,1,http://www.altmetric.com/details.php?citation_id=976658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Community assembly along a soil depth gradient: contrasting patterns of plant trait convergence and divergence in a Mediterranean rangeland,10.1111/1365-2745.12003,50202,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,987212,1.5.4,FALSE,3,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,http://onlinelibrary.wiley.com/doi/10.1111/1365-2745.12003/abstract;jsessionid=FB8A1817188960A8C13559A685596109.d04t01,1349678090,NA,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1354044792,0,http://www.altmetric.com/details.php?citation_id=987212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Do nicheÌ¢åÛåêstructured plant communities exhibit phylogenetic conservatism? A test case in an endemic clade,10.1111/1365-2745.12004,50202,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,987213,1.5.4,FALSE,7,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,2.85,0,0,0,http://onlinelibrary.wiley.com/doi/10.1111/1365-2745.12004/abstract;jsessionid=4C5871F23D2301625E8BD28712C40F21.d02t02,1349678092,NA,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1354718408,0,http://www.altmetric.com/details.php?citation_id=987213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Marked point pattern analysis on genetic paternity data for uncertainty assessment of pollen dispersal kernels,10.1111/j.1365-2745.2011.01854.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,245192,1.5.4,FALSE,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0.25,17,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01854.x/abstract,1314279848,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1308910021,17,http://www.altmetric.com/details.php?citation_id=245192,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Plasticity in leaf and stem nutrient resorption proficiency potentially reinforces plantÌ¢åÛåÒsoil feedbacks and microscale heterogeneity in a semiÌ¢åÛåêarid grassland,10.1111/j.1365-2745.2011.01881.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,245186,1.5.4,FALSE,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0.25,8,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01881.x/abstract,1314279803,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1313613606,8,http://www.altmetric.com/details.php?citation_id=245186,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Reproductive allometry in Pedicularis species changes with elevation,10.1111/j.1365-2745.2011.01884.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,243383,1.5.4,FALSE,2,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,1.25,6,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01884.x/abstract,1314096794,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1314126381,6,http://www.altmetric.com/details.php?citation_id=243383,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Empirical evaluation of directed dispersal and densityÌ¢åÛåêdependent effects across successive recruitment phases,10.1111/j.1365-2745.2011.01886.x,NA,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,378054,1.5.4,FALSE,2,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,0.75,15,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01886.x/abstract,1316632205,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1316639001,15,http://www.altmetric.com/details.php?citation_id=378054,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Hierarchical Bayesian estimation of the population viability of an epixylic moss,10.1111/j.1365-2745.2011.01887.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,381161,1.5.4,FALSE,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0.25,5,0,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01887.x/abstract,1316961131,NA,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1316638989,5,http://www.altmetric.com/details.php?citation_id=381161,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
"Termite activity, not grazing, is the main determinant of spatial variation in savanna herbaceous vegetation",10.1111/j.1365-2745.2011.01889.x,na,4f6fa4f03cf058f610002d62,"1365-2745,",Journal of Ecology,381162,1.5.4,FALSE,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0.25,18,0,1,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2011.01889.x/abstract,1316961133,1293840000,",","Environmental Science, Agricultural and Biological Sciences, Life Sciences, Physical Sciences, ",1316638992,19,http://www.altmetric.com/details.php?citation_id=381162,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
