"",".id","tw_stamp"
"1","10.1371/journal.pone.0064253","Wed May 15 21:31:47 +0000 2013"
"2","10.1371/journal.pone.0064253","Wed May 15 21:45:21 +0000 2013"
"3","10.1371/journal.pone.0064253","Wed May 15 21:50:37 +0000 2013"
"4","10.1371/journal.pone.0064253","Wed May 15 23:10:34 +0000 2013"
"5","10.1371/journal.pone.0064253","Thu May 16 15:23:18 +0000 2013"
"6","10.1371/journal.pone.0064253","Fri May 17 14:57:25 +0000 2013"
"7","10.1371/journal.pone.0064253","Tue Jun 04 20:19:47 +0000 2013"
"8","10.1371/journal.pone.0067421","Mon Jul 01 12:23:00 +0000 2013"
"9","10.1371/journal.pone.0064311","Thu May 09 07:33:22 +0000 2013"
"10","10.1371/journal.pone.0064311","Thu May 09 10:48:16 +0000 2013"
"11","10.1371/journal.pone.0064311","Thu May 09 11:53:30 +0000 2013"
"12","10.1371/journal.pone.0064311","Thu May 23 07:52:21 +0000 2013"
"13","10.1371/journal.pone.0064297","Tue May 28 13:53:22 +0000 2013"
"14","10.1371/journal.pone.0061108","Sun May 12 05:55:09 +0000 2013"
"15","10.1371/journal.pone.0064268","Tue May 21 21:11:17 +0000 2013"
"16","10.1371/journal.pone.0064268","Thu May 23 11:29:12 +0000 2013"
"17","10.1371/journal.pone.0064273","Fri May 24 10:57:06 +0000 2013"
"18","10.1371/journal.pone.0064273","Fri May 24 10:57:34 +0000 2013"
"19","10.1371/journal.pone.0067448","Wed Jun 26 12:44:30 +0000 2013"
"20","10.1371/journal.pone.0064280","Wed May 29 18:57:38 +0000 2013"
"21","10.1371/journal.pone.0064282","Mon May 20 14:58:39 +0000 2013"
"22","10.1371/journal.pone.0064281","Fri May 31 17:59:21 +0000 2013"
"23","10.1371/journal.pone.0064281","Wed Jun 05 18:11:17 +0000 2013"
"24","10.1371/journal.pone.0064279","Tue May 14 23:12:49 +0000 2013"
"25","10.1371/journal.pone.0064279","Tue May 14 23:15:10 +0000 2013"
"26","10.1371/journal.pone.0064279","Tue May 14 23:51:34 +0000 2013"
"27","10.1371/journal.pone.0064279","Wed May 15 00:00:31 +0000 2013"
"28","10.1371/journal.pone.0061106","Fri May 10 19:44:06 +0000 2013"
"29","10.1371/journal.pone.0061106","Tue May 14 21:22:49 +0000 2013"
"30","10.1371/journal.pone.0061106","Sat May 18 01:25:18 +0000 2013"
"31","10.1371/journal.pone.0061106","Sat May 18 01:33:23 +0000 2013"
"32","10.1371/journal.pone.0064259","Tue May 14 23:10:34 +0000 2013"
"33","10.1371/journal.pone.0067424","Tue Jun 25 01:56:38 +0000 2013"
"34","10.1371/journal.pone.0067452","Wed Jul 10 13:06:36 +0000 2013"
"35","10.1371/journal.pone.0067443","Wed Jun 19 15:20:52 +0000 2013"
"36","10.1371/journal.pone.0061116","Thu May 09 21:14:39 +0000 2013"
"37","10.1371/journal.pone.0067413","Thu Jul 25 03:53:32 +0000 2013"
"38","10.1371/journal.pone.0063855","Fri May 17 18:20:52 +0000 2013"
"39","10.1371/journal.pone.0067023","Wed Jul 03 18:26:40 +0000 2013"
"40","10.1371/journal.pone.0063830","Thu May 30 10:29:51 +0000 2013"
"41","10.1371/journal.pone.0063831","Tue Jun 04 12:49:48 +0000 2013"
"42","10.1371/journal.pone.0063833","Tue Jul 23 20:58:08 +0000 2013"
"43","10.1371/journal.pone.0066988","Mon Jun 17 22:24:42 +0000 2013"
"44","10.1371/journal.pone.0066988","Mon Jun 17 22:37:40 +0000 2013"
"45","10.1371/journal.pone.0066988","Mon Jun 17 22:38:00 +0000 2013"
"46","10.1371/journal.pone.0066988","Mon Jun 17 22:43:38 +0000 2013"
"47","10.1371/journal.pone.0066988","Tue Jun 18 15:19:07 +0000 2013"
